Rank,City ,City_russian,Federal_subject,Federal_district ,Population_2020,Population_2010,Population_growth
167,Zheleznogorsk,????????????, Kursk Oblast,Central,"100,446","95,049",5.68%
168,Sergiyev Posad,??????? ?????, Moscow Oblast,Central,"100,335","111,179",?9.75%
169,Zelenodolsk,????????????, Republic of Tatarstan,Volga,"100,039","97,674",2.42%
170,Tobolsk,????????, Tyumen Oblast,Ural,"98,932","99,694",?0.76%
171,Votkinsk,????????, Udmurt Republic,Volga,"97,244","99,022",?1.80%
172,Mezhdurechensk,????????????, Kemerovo Oblast,Siberia,"96,299","101,678",?5.29%
173,Sarov,?????, Nizhny Novgorod Oblast,Volga,"96,052","92,047",4.35%
174,Serov,?????, Sverdlovsk Oblast,Ural,"95,861","99,373",?3.53%
175,Mikhaylovsk,??????????, Stavropol Krai,North Caucasus,"95,721","70,981",34.85%
176,Sarapul,???????, Udmurt Republic,Volga,"95,355","101,381",?5.94%
177,Leninsk-Kuznetsky,???????-?????????, Kemerovo Oblast,Siberia,"94,398","101,666",?7.15%
178,Ukhta,????, Komi Republic,Northwest,"93,716","99,591",?5.90%
179,Voskresensk,???????????, Moscow Oblast,Central,"92,911","91,464",1.58%
180,Solikamsk,?????????, Perm Krai,Volga,"92,602","97,384",?4.91%
181,Glazov,??????, Udmurt Republic,Volga,"92,334","95,854",?3.67%
182,Magadan,???????, Magadan Oblast,Far East,"92,052","95,982",?4.09%
183,Gatchina,???????, Leningrad Oblast,Northwest,"91,685","92,937",?1.35%
184,Velikiye Luki,??????? ????, Pskov Oblast,Northwest,"90,922","98,778",?7.95%
185,Michurinsk,?????????, Tambov Oblast,Central,"90,722","98,758",?8.14%
186,Lobnya,?????, Moscow Oblast,Central,"90,231","74,252",21.52%
187,Kansk,?????, Krasnoyarsk Krai,Siberia,"88,917","94,226",?5.63%
188,Anapa,?????, Krasnodar Krai,South,"88,879","58,990",50.67%
189,Kamensk-Shakhtinsky,???????-??????????, Rostov Oblast,South,"87,760","95,296",?7.91%
190,Kiselyovsk,?????????, Kemerovo Oblast,Siberia,"86,573","98,365",?11.99%
191,Gubkin,??????, Belgorod Oblast,Central,"86,229","88,560",?2.63%
192,Buzuluk,???????, Orenburg Oblast,Volga,"86,103","82,904",3.86%
193,Novotroitsk,??????????, Orenburg Oblast,Volga,"83,647","98,173",?14.80%
194,Yeysk,????, Krasnodar Krai,South,"83,094","87,769",?5.33%
195,Zheleznogorsk,????????????, Krasnoyarsk Krai,Siberia,"82,591","84,795",?2.60%
196,Bugulma,????????, Republic of Tatarstan,Volga,"82,488","89,204",?7.53%
197,Chaykovsky,??????????, Perm Krai,Volga,"82,382","82,895",?0.62%
198,Ivanteyevka,??????????, Moscow Oblast,Central,"81,254","58,626",38.60%
199,Kineshma,???????, Ivanovo Oblast,Central,"80,950","88,164",?8.18%
200,Yurga,????, Kemerovo Oblast,Siberia,"80,840","81,533",?0.85%
201,Kuznetsk,???????, Penza Oblast,Volga,"80,497","88,839",?9.39%
202,Azov,????, Rostov Oblast,South,"80,428","82,937",?3.03%
203,Ust-Ilimsk,????-??????, Irkutsk Oblast,Siberia,"80,419","86,610",?7.15%
204,Novouralsk,???????????, Sverdlovsk Oblast,Ural,"80,357","85,522",?6.04%
205,Klin,????, Moscow Oblast,Central,"79,715","80,585",?1.08%
—,Yalta,????, Republic of Crimea [a],South,"79,056","81,654",?3.18% [b]
206,Ozyorsk,??????, Chelyabinsk Oblast,Ural,"78,440","82,164",?4.53%
207,Kropotkin,?????????, Krasnodar Krai,South,"77,655","80,765",?3.85%
208,Vidnoye,??????, Moscow Oblast,Central,"77,018","56,752",35.71%
209,Bor,???, Nizhny Novgorod Oblast,Volga,"76,872","78,058",?1.52%
210,Gelendzhik,?????????, Krasnodar Krai,South,"76,783","54,980",39.66%
211,Usolye-Sibirskoye,??????-?????????, Irkutsk Oblast,Siberia,"76,047","83,327",?8.74%
212,Balashov,???????, Saratov Oblast,Volga,"75,773","82,227",?7.85%
213,Chernogorsk,??????????, Republic of Khakassia,Siberia,"75,419","72,147",4.54%
214,Vyborg,??????, Leningrad Oblast,Northwest,"75,355","79,962",?5.76%
215,Dubna,?????, Moscow Oblast,Central,"74,985","70,663",6.12%
216,Vsevolozhsk,??????????, Leningrad Oblast,Northwest,"74,724","59,704",25.16%
217,Shadrinsk,????????, Kurgan Oblast,Ural,"74,652","77,756",?3.99%
218,Novoaltaysk,???????????, Altai Krai,Siberia,"74,556","70,437",5.85%
219,Yelabuga,???????, Republic of Tatarstan,Volga,"73,962","70,728",4.57%
